tick,voltage_v,current_a,power_w,temperature_c
0,16.8,0.7,11.76,25.235
1,27.72,1.155,32.0166,25.864
2,34.818,1.4507,50.5122,26.831
3,39.4317,1.643,64.7858,28.035
4,42.4306,1.7679,75.0148,29.384
5,44.3799,1.8492,82.0656,30.806
6,45.6469,1.902,86.8184,32.252
7,46.4705,1.9363,89.9795,33.689
8,47.0058,1.9586,92.0645,35.096
9,47.3538,1.9731,93.4326,36.459
10,47.58,1.9825,94.3272,37.773
11,47.727,1.9886,94.911,39.033
12,47.8225,1.9926,95.2914,40.237
13,47.8846,1.9952,95.5391,41.386
14,47.925,1.9969,95.7003,42.48
15,47.9513,1.998,95.8052,43.523
16,47.9683,1.9987,95.8733,44.514
17,47.9794,1.9991,95.9177,45.457
18,47.9866,1.9994,95.9465,46.353
19,47.9913,1.9996,95.9652,47.204
20,47.9943,1.9998,95.9774,48.014
21,47.9963,1.9998,95.9853,48.783
22,47.9976,1.9999,95.9904,49.513
23,47.9984,1.9999,95.9938,50.208
24,47.999,2.0,95.996,50.867
25,47.9993,2.0,95.9974,51.494
26,47.9996,2.0,95.9983,52.089
27,47.9997,2.0,95.9989,52.655
28,47.9998,2.0,95.9993,53.192
29,47.9999,2.0,95.9995,53.702
30,31.1999,1.3,40.5598,53.078
31,20.28,0.845,17.1365,52.017
32,13.182,0.5492,7.2402,50.811
33,8.5683,0.357,3.059,49.582
34,5.5694,0.2321,1.2924,48.378
35,3.6201,0.1508,0.546,47.22
36,2.3531,0.098,0.2307,46.114
37,1.5295,0.0637,0.0975,45.06
38,0.9942,0.0414,0.0412,44.058
39,0.6462,0.0269,0.0174,43.106
40,0.42,0.0175,0.0074,42.2
41,0.273,0.0114,0.0031,41.34
42,0.1775,0.0074,0.0013,40.523
43,0.1154,0.0048,0.0006,39.747
44,0.075,0.0031,0.0002,39.01
45,0.0487,0.002,0.0001,38.309
46,0.0317,0.0013,0.0,37.644
47,0.0206,0.0009,0.0,37.012
48,0.0134,0.0006,0.0,36.411
49,0.0087,0.0004,0.0,35.841
50,0.0057,0.0002,0.0,35.299
51,0.0037,0.0002,0.0,34.784
52,0.0024,0.0001,0.0,34.294
53,0.0016,0.0001,0.0,33.83
54,0.001,0.0,0.0,33.388
55,0.0007,0.0,0.0,32.969
56,0.0004,0.0,0.0,32.57
57,0.0003,0.0,0.0,32.192
58,0.0002,0.0,0.0,31.832
59,0.0001,0.0,0.0,31.491
